"Player","Pos","Class","School","Conference","Season","Total"
"Tyre Brady","WR","SR","Marshall","CUSA",2018,0.1025
"Brenden Knox","RB","FR","Marshall","CUSA",2018,0.1025
"Armani Levias","TE","JR","Marshall","CUSA",2018,0.1025
"La'Rod King","WR","JR","Kentucky","SEC",2011,0.1024
"Jon Thomas","OL","SR","Kentucky","SEC",2011,0.1024
"Alvin Davis Jr.","DL","FR","Kentucky","SEC",2011,0.1024
"Larry Warford","OL","JR","Kentucky","SEC",2011,0.1024
"Tristian Johnson","DL","SO","Kentucky","SEC",2011,0.1024
"Brian Adams","WR","SO","Kentucky","SEC",2011,0.1024
"Billy Joe Murphy","OL","SR","Kentucky","SEC",2011,0.1024
"Joseph Yearby","RB","FR","Miami (FL)","ACC",2014,0.1024
"Malcolm Lewis","WR","SO","Miami (FL)","ACC",2014,0.1024
"Ronald Regula","RB","SR","Miami (FL)","ACC",2014,0.1024
"Clive Walford","TE","SR","Miami (FL)","ACC",2014,0.1024
"Joseph Rogers","WR","JR","Miami (FL)","ACC",2014,0.1024
"Ereck Flowers","OL","JR","Miami (FL)","ACC",2014,0.1024
"Michael Badgley","K","FR","Miami (FL)","ACC",2014,0.1024
"Paul Swanson","LB","JR","Arkansas State","Sun Belt",2015,0.1024
"Ben Gallagher","LB","SO","Arkansas State","Sun Belt",2015,0.1024
"Michael Marchese","DB","FR","Illinois","Big Ten",2017,0.1024
"Spencer Tears","WR","SO","Northern Illinois","MAC",2017,0.1024
"Marcus Jones","RB","SO","Northern Illinois","MAC",2017,0.1024
"Kelly Weese","WR","SR","Northern Illinois","MAC",2017,0.1024
"Tre Harbison","RB","FR","Northern Illinois","MAC",2017,0.1024
"Marcus Kelly","DL","SO","Northern Illinois","MAC",2017,0.1024
"Maalik Todd","WR","JR","Northern Illinois","MAC",2017,0.1024
"Hayden Sak","OL","JR","Northern Illinois","MAC",2017,0.1024
"Ryan Roberts","OL","SO","Northern Illinois","MAC",2017,0.1024
"Daniel Santacaterina","QB","SO","Northern Illinois","MAC",2017,0.1024
"Max Scharping","OL","JR","Northern Illinois","MAC",2017,0.1024
"Andrew Parchment","WR","FR","Northern Illinois","MAC",2017,0.1024
"Jack Hockaday","LB","FR","Iowa","Big Ten",2015,0.1023
"McArthur Burnett","DB","JR","USF","American",2019,0.1023
"Terrence Kelley","LB","FR","Troy","Sun Belt",2014,0.1022
"Johnston White","RB","JR","Arkansas State","Sun Belt",2016,0.1022
"Brandon Brockman","TE","JR","Arkansas State","Sun Belt",2016,0.1022
"Damon Foncham","P","FR","Arkansas State","Sun Belt",2016,0.1022
"Darveon Brown","WR","FR","Arkansas State","Sun Belt",2016,0.1022
"Tevin Merritt","DL","FR","Arkansas State","Sun Belt",2016,0.1022
"Joseph Bacchus","OL","SR","Arkansas State","Sun Belt",2016,0.1022
"Colton Jackson","OL","SR","Arkansas State","Sun Belt",2016,0.1022
"Austin Moreton","OL","SR","Arkansas State","Sun Belt",2016,0.1022
"Sterling Stowers","WR","JR","Arkansas State","Sun Belt",2016,0.1022
"Ethan Kagy","DB","FR","Toledo","MAC",2010,0.1021
"J.D. McKissic","WR","FR","Arkansas State","Sun Belt",2011,0.1021
"Cody Prater","TE","JR","Arkansas State","Sun Belt",2011,0.1021
"Ryan Aplin","QB","JR","Arkansas State","Sun Belt",2011,0.1021
"Tom Castilaw","OL","SR","Arkansas State","Sun Belt",2011,0.1021
"Derek Lawson","RB","SR","Arkansas State","Sun Belt",2011,0.1021
"Julian Jones","WR","SO","Arkansas State","Sun Belt",2011,0.1021
"Josh Jarboe","WR","JR","Arkansas State","Sun Belt",2011,0.1021
"Kedric Murry","TE","JR","Arkansas State","Sun Belt",2011,0.1021
"Jimmy Williams","WR","SR","East Carolina","American",2017,0.1021
"James Bowe, Jr.","LB","SO","Massachusetts","Independent",2017,0.1021
"Matt Dotson","TE","JR","Michigan State","Big Ten",2019,0.1021
"Jalen Nailor","WR","SO","Michigan State","Big Ten",2019,0.1021
"Brandon Sowards","WR","SR","Michigan State","Big Ten",2019,0.1021
"Trenton Gillison","TE","FR","Michigan State","Big Ten",2019,0.1021
"Jack Camper","DL","SO","Michigan State","Big Ten",2019,0.1021
"Matt Allen","OL","JR","Michigan State","Big Ten",2019,0.1021
"Dashaun Mallory","DL","FR","Michigan State","Big Ten",2019,0.1021
"Darrell Stewart Jr.","WR","SR","Michigan State","Big Ten",2019,0.1021
"Jake Hartbarger","P","SR","Michigan State","Big Ten",2019,0.1021
"Aaron Epps","OL","JR","Louisville","ACC",2014,0.102
"Charles Standberry","TE","FR","Louisville","ACC",2014,0.102
"Ryan Johnson","P","SR","Louisville","ACC",2014,0.102
"DeVante Parker","WR","SR","Louisville","ACC",2014,0.102
"Keith Towbridge","TE","SO","Louisville","ACC",2014,0.102
"Reggie Bonnafon","QB","FR","Louisville","ACC",2014,0.102
"Will Gardner","QB","SO","Louisville","ACC",2014,0.102
"Skyler Howard","QB","JR","West Virginia","Big Ten",2015,0.102
"Mike Molina","K","SO","West Virginia","Big Ten",2015,0.102
"Cody Clay","TE","SR","West Virginia","Big Ten",2015,0.102
"Wendell Smallwood","RB","JR","West Virginia","Big Ten",2015,0.102
"Marcell Lazard","OL","FR","West Virginia","Big Ten",2015,0.102
"Moses Alipate","QB","FR","Minnesota","Big Ten",2010,0.1019
"Quron Pratt","WR","SO","Rutgers","Big East",2011,0.1019
"Chas Dodd","QB","SO","Rutgers","Big East",2011,0.1019
"Shane Meisner","DL","FR","Rutgers","Big East",2011,0.1019
"Joe Martinek","RB","SR","Rutgers","Big East",2011,0.1019
"Brandon Coleman","WR","FR","Rutgers","Big East",2011,0.1019
"Kaleb Johnson","OL","FR","Rutgers","Big East",2011,0.1019
"Desmond Wynn","OL","SR","Rutgers","Big East",2011,0.1019
"D.C. Jefferson","TE","JR","Rutgers","Big East",2011,0.1019
"Keeath Magee II","LB","JR","Texas A&M","SEC",2019,0.1019
"Braden White","LB","JR","Texas A&M","SEC",2019,0.1019
"Samuel Oyenuga","DB","SR","New Mexico State","Sun Belt",2015,0.1018
"Camden Coleman","DB","SO","Vanderbilt","SEC",2019,0.1018
"Frank Coppet","DB","JR","Vanderbilt","SEC",2019,0.1018
"Deantre Lewis","RB","FR","Arizona State","Pac-10",2010,0.1017
"T.J. Simpson","WR","JR","Arizona State","Pac-10",2010,0.1017
"A.J. Pickens","WR","SO","Arizona State","Pac-10",2010,0.1017
"Evan Finkenberg","OL","FR","Arizona State","Pac-10",2010,0.1017
"Brandon Smith","WR","SR","Arizona State","Pac-10",2010,0.1017
"Trevor Kohl","TE","JR","Arizona State","Pac-10",2010,0.1017
"Kody Koebensky","OL","FR","Arizona State","Pac-10",2010,0.1017
"Eric Albright","TE","JR","North Carolina","ACC",2013,0.1017
"T.J. Thorpe","WR","SO","North Carolina","ACC",2013,0.1017
"Allen Champagne","DL","SO","North Carolina","ACC",2013,0.1017
"Kedrick Davis","WR","FR","North Carolina","ACC",2013,0.1017
"Charles Brunson","RB","SO","North Carolina","ACC",2013,0.1017
"Mario Rodriguez","OL","SR","Western Michigan","MAC",2014,0.1017
"Eric Boyden","TE","JR","Western Michigan","MAC",2014,0.1017
"Khairi Bailey","DL","FR","Western Michigan","MAC",2014,0.1017
"Daniel Braverman","WR","SO","Western Michigan","MAC",2014,0.1017
"Corey Davis","WR","SO","Western Michigan","MAC",2014,0.1017
"Zach Terrell","QB","SO","Western Michigan","MAC",2014,0.1017
"Lamont Gaillard","OL","SO","Georgia","SEC",2016,0.1017
"Jeb Blazevich","TE","JR","Georgia","SEC",2016,0.1017
"Brian Herrien","RB","FR","Georgia","SEC",2016,0.1017
"Trent Frix","OL","JR","Georgia","SEC",2016,0.1017
"Durham Smythe","TE","SR","Notre Dame","Independent",2016,0.1017
"Scott Daly","OL","SR","Notre Dame","Independent",2016,0.1017
"Justin Yoon","K","SO","Notre Dame","Independent",2016,0.1017
"Josh Adams","RB","SO","Notre Dame","Independent",2016,0.1017
"Pete Mokwuah","DL","JR","Notre Dame","Independent",2016,0.1017
"Nic Weishar","TE","JR","Notre Dame","Independent",2016,0.1017
"Nick Grant","DB","FR","Virginia","ACC",2017,0.1017
"Jordan Lasley","WR","FR","UCLA","Pac-12",2015,0.1016
"Taylor Lagace","RB","JR","UCLA","Pac-12",2015,0.1016
"Jerry Neuheisel","QB","JR","UCLA","Pac-12",2015,0.1016
"Paul Perkins","RB","JR","UCLA","Pac-12",2015,0.1016
"Alex Redmond","OL","JR","UCLA","Pac-12",2015,0.1016
"Devin Fuller","WR","SR","UCLA","Pac-12",2015,0.1016
"Ka'imi Fairbairn","K","SR","UCLA","Pac-12",2015,0.1016
"Darren Andrews","WR","SO","UCLA","Pac-12",2015,0.1016
"Carl Hulick","DL","JR","UCLA","Pac-12",2015,0.1016
"Thomas Duarte","WR","JR","UCLA","Pac-12",2015,0.1016
"C.J. Saunders","WR","JR","Ohio State","Big Ten",2018,0.1016
"Jerron Cage","DL","FR","Ohio State","Big Ten",2018,0.1016
"Master Teague","RB","FR","Ohio State","Big Ten",2018,0.1016
"Isaiah Prince","OL","SR","Ohio State","Big Ten",2018,0.1016
"Antwuan Jackson","DL","SO","Ohio State","Big Ten",2018,0.1016
"J.K. Dobbins","RB","SO","Ohio State","Big Ten",2018,0.1016
"Blake DeChristopher","OL","JR","Virginia Tech","ACC",2010,0.1015
"Andrew Lanier","OL","JR","Virginia Tech","ACC",2010,0.1015
"Rob Stanton","TE","SR","Virginia Tech","ACC",2010,0.1015
"Kwamaine Battle","DL","JR","Virginia Tech","ACC",2010,0.1015
"Kenny Younger","RB","SR","Virginia Tech","ACC",2010,0.1015
"Collin Carroll","OL","JR","Virginia Tech","ACC",2010,0.1015
"Jarrett Boykin","WR","JR","Virginia Tech","ACC",2010,0.1015
"Ameer Abdullah","RB","FR","Nebraska","Big Ten",2011,0.1015
"Ben Cotton","TE","JR","Nebraska","Big Ten",2011,0.1015
"Jake Cotton","OL","FR","Nebraska","Big Ten",2011,0.1015
"Mauro Bondi","K","FR","Nebraska","Big Ten",2011,0.1015
"Justin Jackson","OL","JR","Nebraska","Big Ten",2011,0.1015
"Brett Maher","P","JR","Nebraska","Big Ten",2011,0.1015
"Kenny Bell","WR","FR","Nebraska","Big Ten",2011,0.1015
"Tim Marlowe","WR","JR","Nebraska","Big Ten",2011,0.1015
"Charmeachealle Moore","LB","JR","Kansas State","Big 12",2014,0.1015
"Jamieon Moss","LB","FR","Virginia Tech","ACC",2014,0.1015
"Sean Huelskamp","LB","FR","Virginia Tech","ACC",2014,0.1015
"Quincy Casimir","DB","SR","Miami (FL)","ACC",2015,0.1015
"Winn Howard","LB","SO","Navy","American",2015,0.1015
"Andre Snipes-Booker","WR","SR","Marshall","CUSA",2012,0.1014
"Randall Hollimon","RB","SR","Houston","American",2014,0.1014
"Greg Ward Jr.","WR","SO","Houston","American",2014,0.1014
"Vincent Hall","DL","SR","Houston","American",2014,0.1014
"Ryan Jackson","RB","JR","Houston","American",2014,0.1014
"Deontay Greenberry","WR","JR","Houston","American",2014,0.1014
"Wayne Beadle","WR","SR","Houston","American",2014,0.1014
"Markeith Ambles","WR","SR","Houston","American",2014,0.1014
"Emeka Okafor","OL","JR","Houston","American",2014,0.1014
"Kyle Bullard","K","JR","Houston","American",2014,0.1014
"Kenneth Farrow","RB","JR","Houston","American",2014,0.1014
"Melvin Holland","DL","JR","Houston","American",2014,0.1014
"Damien Parris","OL","JR","Houston","American",2014,0.1014
"Daniel Spencer","WR","SR","Houston","American",2014,0.1014
"Isaac Harris","LB","SO","Clemson","ACC",2010,0.1013
"Terrence Toliver","WR","SR","LSU","SEC",2010,0.1013
"Russell Shepard","WR","SO","LSU","SEC",2010,0.1013
"Chris Davenport","DL","FR","LSU","SEC",2010,0.1013
"Stevan Ridley","RB","JR","LSU","SEC",2010,0.1013
"Alex Hurst","OL","SO","LSU","SEC",2010,0.1013
"Jordan Jefferson","QB","JR","LSU","SEC",2010,0.1013
"Chase Clement","TE","SO","LSU","SEC",2010,0.1013
"Brock Macaulay","OL","FR","Kent State","MAC",2014,0.1013
"Charles Chandler","WR","SO","Kent State","MAC",2014,0.1013
"Steve Nagy","RB","SO","Kent State","MAC",2014,0.1013
"Elias Sayre","DL","SR","Kent State","MAC",2014,0.1013
"Anthony Melchiori","K","JR","Kent State","MAC",2014,0.1013
"James Brooks","WR","SO","Kent State","MAC",2014,0.1013
"Zach Swarts","OL","SO","Miami (OH)","MAC",2016,0.1013
"Kyle Row","WR","SO","Miami (OH)","MAC",2016,0.1013
"Ryan Mullen","OL","SO","Miami (OH)","MAC",2016,0.1013
"Ryan Smith","TE","JR","Miami (OH)","MAC",2016,0.1013
"Samuel Sloman","K","FR","Miami (OH)","MAC",2016,0.1013
"Matt Smallbone","DL","JR","Miami (OH)","MAC",2016,0.1013
"Cameron Petrie","DL","FR","Miami (OH)","MAC",2016,0.1013
"Sam Shisso","WR","SR","Miami (OH)","MAC",2016,0.1013
"Rokeem Williams","WR","SR","Miami (OH)","MAC",2016,0.1013
"TraJon Cotton","DB","FR","Oregon State","Pac-12",2018,0.1013
"DeShon Wilson","DB","FR","Oregon State","Pac-12",2018,0.1013
"Terrance Wilkerson","WR","SR","SMU","CUSA",2011,0.1012
"Bryan Collins","OL","JR","SMU","CUSA",2011,0.1012
"J.T. Brooks","OL","SR","SMU","CUSA",2011,0.1012
"Blake McJunkin","OL","SR","SMU","CUSA",2011,0.1012
"Cole Beasley","WR","SR","SMU","CUSA",2011,0.1012
"Jared Williams","RB","FR","SMU","CUSA",2011,0.1012
"Austin Carr","WR","SO","Northwestern","Big Ten",2014,0.1012
"Jayme Taylor","RB","FR","Northwestern","Big Ten",2014,0.1012
"Chris Gradone","P","JR","Northwestern","Big Ten",2014,0.1012
"Jack Mitchell","K","SO","Northwestern","Big Ten",2014,0.1012
"Brandon Vitabile","OL","SR","Northwestern","Big Ten",2014,0.1012
"Mark Szott","RB","JR","Northwestern","Big Ten",2014,0.1012
"Chris Fitzpatrick","OL","SO","Northwestern","Big Ten",2014,0.1012
"Kyle Prater","WR","SR","Northwestern","Big Ten",2014,0.1012
"Adam DePietro","OL","SO","Northwestern","Big Ten",2014,0.1012
"Johnathon Johnson","WR","JR","Tennessee","SEC",2014,0.1012
"Ryan Jenkins","WR","FR","Tennessee","SEC",2014,0.1012
"Marcus Jackson","OL","JR","Tennessee","SEC",2014,0.1012
"Dylan Wiesman","OL","SO","Tennessee","SEC",2014,0.1012
"Jalen Hurd","RB","FR","Tennessee","SEC",2014,0.1012
"Dexter Wright","DB","FR","North Carolina State","ACC",2015,0.1012
"C.J. Felix","DB","SO","Southern Miss","CUSA",2013,0.1011
"Naji Patrick","DB","JR","Oregon State","Pac-12",2014,0.1011
"Andrew Smith","WR","SO","Air Force","Mountain West",2016,0.1011
"Steve Brosy","P","SR","Air Force","Mountain West",2016,0.1011
"Colin Sandor","OL","SR","Air Force","Mountain West",2016,0.1011
"Travis Rudolph","WR","JR","Florida State","ACC",2016,0.1011
"Mavin Saunders","TE","SO","Florida State","ACC",2016,0.1011
"Jack Steed","P","SR","Florida State","ACC",2016,0.1011
"Dalvin Cook","RB","JR","Florida State","ACC",2016,0.1011
"Nyqwan Murray","WR","SO","Florida State","ACC",2016,0.1011
"Auden Tate","WR","SO","Florida State","ACC",2016,0.1011
"Stephen Gabbard","OL","JR","Florida State","ACC",2016,0.1011
"Joe Provenzano","LB","JR","Boise State","Mountain West",2017,0.1011
"Taylor Randle","WR","JR","Texas A&M","Big 12",2010,0.101
"Christine Michael","RB","SO","Texas A&M","Big 12",2010,0.101
"Jeff Fuller","WR","JR","Texas A&M","Big 12",2010,0.101
"Brandal Jackson","WR","SO","Texas A&M","Big 12",2010,0.101
"Patrick Lewis","OL","SO","Texas A&M","Big 12",2010,0.101
"Hutson Prioleau","TE","FR","Texas A&M","Big 12",2010,0.101
"Jerrod Johnson","QB","SR","Texas A&M","Big 12",2010,0.101
"Don Bishop","TE","SR","Texas A&M","Big 12",2010,0.101
"Ryan Tannehill","QB","JR","Texas A&M","Big 12",2010,0.101
"Ryan Epperson","P","SO","Texas A&M","Big 12",2010,0.101
"Andrew Wolridge","DL","SO","Texas A&M","Big 12",2010,0.101
"Jamel King","LB","JR","Utah","Mountain West",2010,0.101
"Noel Grigsby","WR","JR","San Jose State","WAC",2012,0.101
"Ryan Otten","TE","SR","San Jose State","WAC",2012,0.101
"Ryan Jones","OL","JR","San Jose State","WAC",2012,0.101
"Austin Lopez","K","FR","San Jose State","WAC",2012,0.101
"Jabari Carr","WR","SO","San Jose State","WAC",2012,0.101
"Jalynn McCain","RB","FR","San Jose State","WAC",2012,0.101
"Daniel Koenig","OL","FR","Oklahoma State","Big 12",2010,0.1009
"Hubert Anyiam","WR","JR","Oklahoma State","Big 12",2010,0.1009
"Isaiah Anderson","WR","SO","Oklahoma State","Big 12",2010,0.1009
"Josh Cooper","WR","JR","Oklahoma State","Big 12",2010,0.1009
"Levy Adcock","OL","JR","Oklahoma State","Big 12",2010,0.1009
"Jonathan Rush","OL","JR","Oklahoma State","Big 12",2010,0.1009
"Charlie Moore","WR","FR","Oklahoma State","Big 12",2010,0.1009
"Andrew Hudson","DL","FR","Oklahoma State","Big 12",2010,0.1009
"Kendall Hunter","RB","SR","Oklahoma State","Big 12",2010,0.1009
"Nick Rockwell","WR","FR","Oklahoma State","Big 12",2010,0.1009
"Jason Gibson","LB","SO","California","Pac-12",2013,0.1009
"Brandon Armstrong","RB","JR","UTSA","CUSA",2013,0.1009
"Scott Inskeep","OL","JR","UTSA","CUSA",2013,0.1009
"Kristian Stern","P","JR","UTSA","CUSA",2013,0.1009
"William Cavanaugh","OL","SO","UTSA","CUSA",2013,0.1009
"Jason Neill","DL","JR","UTSA","CUSA",2013,0.1009
"Seth Grubb","WR","JR","UTSA","CUSA",2013,0.1009
"Jah-Mai Davidson","OL","JR","Georgia State","Sun Belt",2015,0.1009
"DeQueszman Kelley","DL","SO","Georgia State","Sun Belt",2015,0.1009
"Penny Hart","WR","FR","Georgia State","Sun Belt",2015,0.1009
"Will Cunningham","DL","SO","Georgia State","Sun Belt",2015,0.1009
"Donovan Harden","WR","SR","Georgia State","Sun Belt",2015,0.1009
"Taylor Evans","OL","SR","Georgia State","Sun Belt",2015,0.1009
"Seth-Patrick Holman","OL","FR","Georgia State","Sun Belt",2015,0.1009
"Colby Sigears","DB","SO","Arkansas State","Sun Belt",2018,0.1009
"Detravion Green","DB","FR","Arkansas State","Sun Belt",2018,0.1009
"Desmond Anderson","DB","SR","Middle Tennessee","CUSA",2018,0.1009
"Christen Milstead","DB","FR","FAU","Sun Belt",2010,0.1008
"Patrick Fleming","WR","SR","SMU","CUSA",2010,0.1008
"Darryl Fields","RB","FR","SMU","CUSA",2010,0.1008
"Bryce Tennison","OL","JR","SMU","CUSA",2010,0.1008
"Mickey Dollens","DL","SR","SMU","CUSA",2010,0.1008
"Blake McJunkin","OL","JR","SMU","CUSA",2010,0.1008
"Darius Johnson","WR","SO","SMU","CUSA",2010,0.1008
"Bryce Lunday","RB","JR","SMU","CUSA",2010,0.1008
"Malique Micenheimer","LB","FR","Fresno State","WAC",2011,0.1008
"Kalin McNeil","LB","FR","Wake Forest","ACC",2015,0.1008
"Austin Cutting","OL","SR","Air Force","Mountain West",2018,0.1008
"Kaleb Nunez","DL","SO","Air Force","Mountain West",2018,0.1008
"Kadin Remsberg","RB","SO","Air Force","Mountain West",2018,0.1008
"Isaiah Sampson","WR","SO","Air Force","Mountain West",2018,0.1008
"Ben Peterson","RB","SO","Air Force","Mountain West",2018,0.1008
"Rhett Myers","TE","JR","Air Force","Mountain West",2018,0.1008
"Nolan Eriksen","RB","JR","Air Force","Mountain West",2018,0.1008
"Griffin Landrum","OL","SR","Air Force","Mountain West",2018,0.1008
"Matthew Philichi","K","SR","Air Force","Mountain West",2018,0.1008
"D'Morea Wicks","WR","JR","Air Force","Mountain West",2018,0.1008
"Julian Pearl","DL","FR","Illinois","Big Ten",2018,0.1008
"Alfred Smith","WR","SO","Louisiana Tech","CUSA",2018,0.1008
"Cee Jay Powell","WR","SO","Louisiana Tech","CUSA",2018,0.1008
"Michael Rodriguez","OL","SR","Louisiana Tech","CUSA",2018,0.1008
"Griffin Hebert","WR","FR","Louisiana Tech","CUSA",2018,0.1008
"Jaqwis Dancy","RB","JR","Louisiana Tech","CUSA",2018,0.1008
"Jon Randall Belton","WR","SO","Louisiana Tech","CUSA",2018,0.1008
"Abraham Delfin","OL","FR","Louisiana Tech","CUSA",2018,0.1008
"Davan Dyer","P","SR","Louisiana Tech","CUSA",2018,0.1008
"DeAndre Marcus","RB","FR","Louisiana Tech","CUSA",2018,0.1008
"Shane Carpenter","OL","SR","Louisiana Tech","CUSA",2018,0.1008
"De'Anthony Curtis","RB","SR","Arkansas","SEC",2011,0.1006
"Luke Charpentier","OL","FR","Arkansas","SEC",2011,0.1006
"Joe Adams","WR","SR","Arkansas","SEC",2011,0.1006
"Grant Cook","OL","SR","Arkansas","SEC",2011,0.1006
"Grant Freeman","OL","SR","Arkansas","SEC",2011,0.1006
"Austin Tate","TE","SO","Arkansas","SEC",2011,0.1006
"Chris Gragg","TE","JR","Arkansas","SEC",2011,0.1006
"Tyler Deacon","OL","JR","Arkansas","SEC",2011,0.1006
"Dennis Johnson","RB","JR","Arkansas","SEC",2011,0.1006
"Greg Allen","DB","FR","Kansas","Big 12",2013,0.1006
"Alex Matlock","DB","SO","Kansas","Big 12",2013,0.1006
"Josh Huff","WR","SR","Oregon","Pac-12",2013,0.1006
"Stetzon Bair","DL","SO","Oregon","Pac-12",2013,0.1006
"Evan Baylis","TE","FR","Oregon","Pac-12",2013,0.1006
"Hroniss Grasu","OL","JR","Oregon","Pac-12",2013,0.1006
"Matt Wogan","K","FR","Oregon","Pac-12",2013,0.1006
"De'Anthony Thomas","RB","JR","Oregon","Pac-12",2013,0.1006
"Drew Howell","OL","SR","Oregon","Pac-12",2013,0.1006
"Marcus Mariota","QB","SO","Oregon","Pac-12",2013,0.1006
"Daryle Hawkins","WR","SR","Oregon","Pac-12",2013,0.1006
"Bralon Addison","WR","SO","Oregon","Pac-12",2013,0.1006
"Pharaoh Brown","TE","SO","Oregon","Pac-12",2013,0.1006
"Kris Williams","LB","SO","Texas Tech","Big 12",2014,0.1006
"Paul Perkins","RB","SO","UCLA","Pac-12",2014,0.1006
"Ka'imi Fairbairn","K","JR","UCLA","Pac-12",2014,0.1006
"Tyler Scott","WR","JR","UCLA","Pac-12",2014,0.1006
"Asiantii Woulard","QB","FR","UCLA","Pac-12",2014,0.1006
"Devin Lucien","WR","JR","UCLA","Pac-12",2014,0.1006
"Charles Dawson","WR","SO","UCLA","Pac-12",2014,0.1006
"Nate Iese","RB","SO","UCLA","Pac-12",2014,0.1006
"Christian Garcia","LB","SO","Florida","SEC",2015,0.1006
"Tommy Armstrong Jr.","QB","JR","Nebraska","Big Ten",2015,0.1006
"Zach Sterup","OL","SR","Nebraska","Big Ten",2015,0.1006
"Sam Foltz","P","JR","Nebraska","Big Ten",2015,0.1006
"Jordan Westerkamp","WR","JR","Nebraska","Big Ten",2015,0.1006
"Paul Thurston","OL","JR","Nebraska","Big Ten",2015,0.1006
"Brandon Reilly","WR","JR","Nebraska","Big Ten",2015,0.1006
"A.J. Natter","DL","SO","Nebraska","Big Ten",2015,0.1006
"Ryker Fyfe","QB","JR","Nebraska","Big Ten",2015,0.1006
"Imani Cross","RB","SR","Nebraska","Big Ten",2015,0.1006
"Cethan Carter","TE","JR","Nebraska","Big Ten",2015,0.1006
"Jerald Foster","OL","FR","Nebraska","Big Ten",2015,0.1006
"Givens Price","DL","SR","Nebraska","Big Ten",2015,0.1006
"Drew Brown","K","SO","Nebraska","Big Ten",2015,0.1006
"Carson Meier","RB","SO","Oklahoma","Big 12",2016,0.1006
"Daniel Brooks","RB","SR","Oklahoma","Big 12",2016,0.1006
"Sam Grant","OL","SR","Oklahoma","Big 12",2016,0.1006
"Dede Westbrook","WR","SR","Oklahoma","Big 12",2016,0.1006
